"[1.1428935415654626, 1.0336847645864067]"
"[1.14280942621935, 1.0337544948292912]"
"[1.1426986166076405, 1.0338252610233412]"
"[1.1425835205943566, 1.0338984142971097]"
"[1.1427111576150255, 1.0339084482212575]"
"[1.1428442793619062, 1.0337570636146007]"
"[1.1428731971375001, 1.0337240726868673]"
"[1.1428831646779014, 1.0337169678588978]"
"[1.1428847132879272, 1.0337203822531256]"
"[1.1428844862826473, 1.0337232731557837]"
"[1.1428848344924387, 1.0337345921985466]"
"[1.1428829299924936, 1.0337402011466221]"
"[1.142881085080546, 1.0337453639733023]"
"[1.1428813841921277, 1.0337580851355628]"
"[1.142879250921092, 1.0337625988957424]"
"[1.1428734000238427, 1.0337707459328502]"
"[1.142869924435842, 1.033778581636938]"
"[1.1428637319270194, 1.0337854229567653]"
"[1.142858514065231, 1.0337903088269627]"
"[1.1428580764555252, 1.0337994765868253]"
"[1.142853731881683, 1.0338073459959303]"
"[1.1428528589354963, 1.0338131706341684]"
"[1.1428526505860293, 1.0338187955025935]"
"[1.142853145695338, 1.0338302399072639]"
"[1.14284966610207, 1.0338377916128778]"
"[1.1428442106661587, 1.033841049772484]"
"[1.1428397910756174, 1.0338452105404214]"
"[1.1428375305835086, 1.0338506839224952]"
"[1.1428321758674687, 1.0338506672293466]"
"[1.1428288816087524, 1.0338497092924046]"
"[1.1428258008971748, 1.0338483857959662]"
"[1.1428227089793102, 1.0338470574784018]"
"[1.1428192434554636, 1.0338633792653087]"
"[1.1428174037677692, 1.0338669374147402]"
"[1.1428161324158534, 1.0338746656536486]"
"[1.142823741762747, 1.0338828021847657]"
"[1.1428149081012953, 1.0338862651068625]"
"[1.1428089687903487, 1.0338890063091437]"
"[1.142803896286431, 1.0338929196322855]"
"[1.142799234920858, 1.03389828007433]"
"[1.142795451906714, 1.0339084362450353]"
"[1.1427895795983607, 1.0339122172055244]"
"[1.1427872251967042, 1.0339163834823346]"
"[1.142781355383289, 1.0339211884424748]"
"[1.1427770999694102, 1.0339274152467175]"
"[1.1427730999841086, 1.0339350571757466]"
"[1.1427684300513143, 1.0339420532144525]"
"[1.1427628301322836, 1.033947824952387]"
"[1.1427598901572282, 1.033954093143625]"
"[1.1427549798589403, 1.0339589570761871]"
"[1.1427503183965857, 1.0339653847947825]"
"[1.1427471599500376, 1.0339691423019002]"
"[1.1427416373643242, 1.033977205109496]"
"[1.1427360598013225, 1.0339851400677094]"
"[1.142733608308035, 1.0339889436976417]"
"[1.1427287452833266, 1.033995399602639]"
"[1.142723375228572, 1.0340016826258684]"
"[1.1427214980738818, 1.0340033729106655]"
"[1.142715412359058, 1.0340141246480812]"
"[1.1426898969516799, 1.03779178186411]"
"[1.142719986517696, 1.0485404272088499]"
"[1.1426671049215347, 1.0611651119571697]"
"[1.1426527319491557, 1.0769076919577338]"
"[1.1426546154938422, 1.0917911139975154]"
"[1.1426443525488976, 1.105248682698965]"
"[1.1426414207427922, 1.1203656326217981]"
"[1.1426302439709497, 1.1310679495070353]"
"[1.1426260596523332, 1.1432372771698303]"
"[1.1426206975155377, 1.1511131431735822]"
"[1.1426201233694364, 1.1609535357903131]"
"[1.1426291299967013, 1.1702974954021879]"
"[1.1426348140484779, 1.1822061077335615]"
"[1.1426286425945182, 1.1929482980931425]"
"[1.1426143146928687, 1.2029800142751075]"
"[1.142620689061801, 1.2143568446097657]"
"[1.1426344579116787, 1.225848179752321]"
