"[1.142877786213298, 1.0337650019036855]"
"[1.142879807273892, 1.0337679780561133]"
"[1.1428874014937036, 1.033764180089581]"
"[1.1428746193478412, 1.0337701956392802]"
"[1.1428682074263274, 1.0337773002702564]"
"[1.142861787578294, 1.0337835476414026]"
"[1.1428577049918949, 1.0337898005831112]"
"[1.142856476690834, 1.0338028326955124]"
"[1.1428550686686025, 1.0338078878714725]"
"[1.1428523879377084, 1.0338141163400894]"
"[1.1428559468651696, 1.033823750149996]"
"[1.14284962799112, 1.0338326481180358]"
"[1.1428484116039652, 1.033837004190289]"
"[1.1428429692827868, 1.0338408312549252]"
"[1.1428409284883745, 1.0338456777975171]"
"[1.1428376699578104, 1.0338510591406729]"
"[1.1428319716420516, 1.0338546501329615]"
"[1.142829318320922, 1.0338630292830002]"
"[1.1428221725698733, 1.033870992035431]"
"[1.1428185672157771, 1.0338751892686424]"
"[1.142813324688987, 1.0338821551909496]"
"[1.1428092034106938, 1.0338853173335165]"
"[1.142805397403899, 1.0338903090371796]"
"[1.1428000675618333, 1.0338975916774857]"
"[1.142796900222687, 1.033905626882756]"
"[1.1427984548197905, 1.0339132687990975]"
"[1.1426805827017399, 1.0338857763970288]"
"[1.1427659495944356, 1.0339083028258413]"
"[1.1427735108715236, 1.033911789814494]"
"[1.1427768047274631, 1.0339171456276897]"
"[1.1427719044725702, 1.033925424033128]"
"[1.1427688250296912, 1.0339346321010292]"
"[1.142764404021983, 1.0339437189179452]"
"[1.1427594481039491, 1.0339504958049952]"
"[1.14275651636624, 1.0339569565509543]"
"[1.142751832314485, 1.0339634606729977]"
"[1.1427472489631056, 1.0339674827177687]"
"[1.1427431807556458, 1.0339764044804058]"
"[1.1427386263221917, 1.0339847889816427]"
"[1.1427332226181004, 1.0339890223494386]"
"[1.1427295699388729, 1.0339959573170017]"
"[1.1427245459004138, 1.0339991986324641]"
"[1.1427205466986514, 1.034004632089556]"
"[1.1427161227042377, 1.0340127149754104]"
"[1.1427114852301143, 1.034020606742085]"
"[1.1427063795088572, 1.0340241099019873]"
"[1.1427017631766303, 1.0340318585831783]"
"[1.1426983437356681, 1.0340353641349145]"
"[1.142693439798055, 1.0340418022834992]"
"[1.1426891198016964, 1.0340490557682926]"
"[1.1426842306689755, 1.0340551905475102]"
"[1.1426718781513119, 1.0411235631067424]"
"[1.142664713043445, 1.0529307500850498]"
"[1.1426449818146585, 1.0680717808489852]"
"[1.1426250465327967, 1.082693547059898]"
"[1.1426309898246596, 1.0970735619485517]"
"[1.1426252257606022, 1.1110692290660364]"
"[1.142622883500709, 1.12411970498516]"
"[1.142617455936725, 1.1371827337311795]"
"[1.1426110332928137, 1.1493862624696711]"
"[1.1426019681985817, 1.1610937713954195]"
"[1.1426099517493895, 1.1729380638911064]"
"[1.1426059905434591, 1.185105480084342]"
"[1.1426288105346125, 1.196909672698829]"
"[1.1425789708150718, 1.2088203251655765]"
"[1.1425749031661177, 1.2208232294671104]"
"[1.1425614038983665, 1.2327763125708735]"
"[1.142566635847648, 1.2454402945232916]"
"[1.1425610397918649, 1.2565660051218595]"
"[1.1425589393087838, 1.2685290654723218]"
"[1.1425498571683192, 1.2792051345038697]"
"[1.1425304899766442, 1.289643645408272]"
"[1.1425386517925502, 1.3017333252528747]"
"[1.1425216931981959, 1.3125557218856145]"
"[1.142504934974665, 1.3233740618001648]"
"[1.1425045631177755, 1.3348279011842326]"
"[1.1424962262559, 1.3462082433214633]"
"[1.1425081033270819, 1.3577775278511544]"
"[1.1424910567532922, 1.3683634876115756]"
"[1.1424943327916206, 1.3829954441946848]"
"[1.1424861692089086, 1.3995790921784816]"
"[1.142478334343199, 1.412750433493144]"
"[1.1424702503820177, 1.4252311483060833]"
"[1.1424749351554144, 1.4374126327287573]"
"[1.1424673807951964, 1.4495841471600965]"
"[1.1424519664838946, 1.4617718081954003]"
"[1.1424514936985681, 1.4720599679401618]"
"[1.1424435874083847, 1.4829079229576638]"
