"[0.9448148136156777, 1.0131134044793317]"
"[0.9448105546095303, 1.0131074375529832]"
"[0.9448340109117048, 1.013122998005787]"
"[0.9448412644934248, 1.0131295091560337]"
"[0.9448740516860841, 1.013150723469405]"
"[0.9448173571120482, 1.0131146934150337]"
"[0.9448076162410322, 1.0131132980271669]"
"[0.9448002519908589, 1.0131130315386339]"
"[0.9447866689662133, 1.0130844215680321]"
"[0.9448053355039611, 1.0131052378465468]"
"[0.9448043465286962, 1.013107029961587]"
"[0.9448021715270722, 1.0131075686481235]"
"[0.9447997495045335, 1.0131059801321156]"
"[0.9447967867872121, 1.0131065462347204]"
"[0.9447958227858068, 1.0131039100791002]"
"[0.9447943821092049, 1.0131021184937834]"
"[0.9447898311848985, 1.013099052245923]"
"[0.9447882628690332, 1.0131003650505843]"
"[0.9447857086577992, 1.0130984724594296]"
"[0.9447837556993839, 1.0130973892683475]"
"[0.9447801286389648, 1.0130962429702313]"
"[0.9447780334761756, 1.0130945675151897]"
"[0.9447748042704786, 1.0130912998066839]"
"[0.9447714543903403, 1.0130919079468468]"
"[0.944769120121406, 1.0130922224379346]"
"[0.9447644011495658, 1.0130906806744953]"
"[0.9447651423252745, 1.0130884723507563]"
"[0.944765016663961, 1.0130873013710313]"
"[0.9447630608869452, 1.0130876563920561]"
"[0.9447598603744684, 1.01308641505678]"
"[0.9447572600108525, 1.0130852065046474]"
"[0.9447594426724321, 1.0130866904239824]"
"[0.9447522040960289, 1.013082669840553]"
"[0.944748319927048, 1.0130787069342377]"
"[0.9447467830478785, 1.0130819111665201]"
"[0.944744262112697, 1.0130786463510555]"
"[0.9447407516956788, 1.013077098788121]"
"[0.9447388234185803, 1.0130751192674836]"
"[0.9447341980695765, 1.0130738773778978]"
"[0.9447318284527647, 1.013071670015857]"
"[0.9447287833220851, 1.0130704524700154]"
"[0.9447259182496521, 1.013068621402243]"
"[0.9447250055277454, 1.0130682198685312]"
"[0.9447204860461502, 1.0130669190264852]"
"[0.944716136302052, 1.013064361465057]"
"[0.9447154029923854, 1.0130651372704182]"
"[0.9447108361994457, 1.013062708652823]"
"[0.9447072841789268, 1.0130623606108935]"
"[0.9447047236371134, 1.0130598460666949]"
"[0.9446945547375929, 1.0182837198182297]"
"[0.9446910409512536, 1.0275694744769879]"
"[0.944686951512977, 1.0371973513724446]"
"[0.9446512838068398, 1.0487792290154783]"
"[0.9446482174425935, 1.0588088749129128]"
"[0.9446126219268121, 1.0705486698508992]"
"[0.9446110519151387, 1.0822112097665497]"
"[0.944595547036232, 1.0939594317054295]"
"[0.9445921924478096, 1.104063361345626]"
"[0.9445551487946342, 1.115509322646508]"
"[0.9445589589444633, 1.1215828346063308]"
"[0.9445471933926953, 1.1335219333694637]"
"[0.9445244376783226, 1.1435441410934504]"
"[0.9445161076379993, 1.1551587919463433]"
"[0.9445107139498531, 1.1651870030952343]"
"[0.944505740429047, 1.1767047810543052]"
"[0.9444940744276915, 1.1826501539830214]"
"[0.944460048611582, 1.1931907120913534]"
"[0.9444543292891714, 1.2006700721088124]"
"[0.9444362543394812, 1.2122178253790747]"
"[0.9444228649112952, 1.2222744769254152]"
"[0.9444134496553978, 1.2339329232106153]"
"[0.9444244107943596, 1.2454832164149903]"
"[0.9443543604806232, 1.2557122227814523]"
"[0.9443730243214397, 1.2674567908031364]"
"[0.9443562905992554, 1.27914730856862]"
"[0.944327553743178, 1.2908977025784052]"
"[0.944322304924181, 1.3010007580835456]"
"[0.9443143687657743, 1.3110137684763277]"
"[0.9443100219204412, 1.3226575513700514]"
"[0.944260313969336, 1.334338111222681]"
"[0.9442530736203125, 1.3475482670071501]"
"[0.9442194235747361, 1.3594379640788228]"
"[0.9442124250992586, 1.371340002049033]"
"[0.9442009843826484, 1.3831030599410283]"
"[0.9441961435688161, 1.394867155056644]"
"[0.9441414934699488, 1.4050609053977754]"
"[0.944137302610819, 1.4166746919710433]"
"[0.9441022402246907, 1.4267105241172753]"
"[0.9441104759599924, 1.438413570258586]"
"[0.9440916131689322, 1.4500131686507511]"
"[0.9440894996647274, 1.4615663243912114]"
"[0.9440480031055937, 1.4717800835783348]"
"[0.9440473539009033, 1.4834685467795778]"
"[0.944017337670154, 1.4951632373304018]"
"[0.9440229117316441, 1.5068683009021984]"
"[0.9440055380603234, 1.5169255045059729]"
"[0.94399843343455, 1.528541929869111]"
"[0.9439939005140614, 1.538588835615855]"
"[0.9439605278192399, 1.5499378888634878]"
"[0.9439514167007537, 1.5615946212949234]"
