"[1.1447103440288733, 1.0130681844438303]"
"[1.1447077601557532, 1.0130668466132906]"
"[1.1447039564217205, 1.0130665188714578]"
"[1.144703348980337, 1.013064131620932]"
"[1.1446991783936815, 1.013062510981377]"
"[1.1447004104969614, 1.0130610501490873]"
"[1.1446957777453979, 1.0130581133610144]"
"[1.1446923877095179, 1.013058969110679]"
"[1.1446922848636627, 1.013058721615375]"
"[1.1446880631230432, 1.0130570433973887]"
"[1.1446867071516422, 1.0130574762595705]"
"[1.1446833142152075, 1.013055167375764]"
"[1.144679921020633, 1.0130540224831506]"
"[1.1446792607387004, 1.0130527383363463]"
"[1.1446743690405472, 1.0130516994514003]"
"[1.1446707680045645, 1.0130477897897712]"
"[1.1446721692550985, 1.013048660304809]"
"[1.1446772445043716, 1.0130467213491956]"
"[1.1446928366880074, 1.0130461217318085]"
"[1.1447064609645419, 1.0130441021788201]"
"[1.144713424308639, 1.0130428681499044]"
"[1.1447255128874523, 1.0130438932825023]"
"[1.144726363693395, 1.0130416481686666]"
"[1.144728744273183, 1.0130441871083355]"
"[1.1447365233635904, 1.013041473052149]"
"[1.1447464334336934, 1.013040246729407]"
"[1.1447595195255804, 1.0130366155151993]"
"[1.144773341991721, 1.013037492823807]"
"[1.1447703924379937, 1.0130358344101047]"
"[1.1447707994904852, 1.013038278527292]"
"[1.1447761631232354, 1.0130339658194587]"
"[1.144793456570551, 1.0130337270054801]"
"[1.1448056291447406, 1.0130340708538372]"
"[1.1448192472781986, 1.0130324274044218]"
"[1.1448336536512942, 1.0130308315559893]"
"[1.1448428122702001, 1.0130300770259946]"
"[1.1448508308656573, 1.0130279423972297]"
"[1.1448445719507883, 1.0130270084340864]"
"[1.1448444472889976, 1.013027168180358]"
"[1.144842409268498, 1.0130246359396542]"
"[1.1448410171143821, 1.0130216878757172]"
"[1.1448357311136148, 1.0130195007863787]"
"[1.144837219994899, 1.0130200464833987]"
"[1.144830846652191, 1.0130186067318303]"
"[1.1448338593038134, 1.0130160316370689]"
"[1.1448283916701611, 1.0130132972920913]"
"[1.1448210512213595, 1.0155153743996947]"
"[1.1448152089328394, 1.0244809798807304]"
"[1.1448206244052441, 1.0349292329200008]"
"[1.1447471469641333, 1.046375151936433]"
"[1.144745363115649, 1.0565772317246105]"
"[1.1447264058825783, 1.0681885912134965]"
"[1.1447542466941552, 1.0783561482758781]"
"[1.1447215382191736, 1.0898883544212326]"
"[1.144726837714635, 1.0958775626325878]"
"[1.1447278048081853, 1.1078633971946383]"
"[1.1446955939794148, 1.1176119444225254]"
"[1.144691438040772, 1.1291815569973376]"
"[1.1446715540493146, 1.139315339853754]"
"[1.1446708630875588, 1.1493080416169792]"
"[1.1446613238057728, 1.1568296386109151]"
"[1.1446599360294385, 1.1655496585247465]"
"[1.1446600016613862, 1.1726884694129267]"
"[1.1446550229151407, 1.1828238012638825]"
"[1.1446072493892274, 1.1941691016943443]"
"[1.1446005646867388, 1.2058000828115496]"
"[1.144569229595801, 1.2160534470446884]"
"[1.144561850515554, 1.2276913420475501]"
"[1.1445635176203062, 1.2376772852224012]"
"[1.1445596766331048, 1.2493561872487542]"
"[1.144513527802662, 1.25940334211565]"
"[1.1445179110258892, 1.2708296883331194]"
"[1.1444995855351645, 1.281095836919193]"
"[1.144493004588602, 1.2927699403834063]"
"[1.1444790030062622, 1.3044408722136334]"
"[1.1444892513841969, 1.3160738382805368]"
"[1.144468732086678, 1.326325717152902]"
"[1.1444666146841693, 1.337953906458054]"
"[1.1444638170094312, 1.3479674926046565]"
"[1.144444742638187, 1.3596507933247655]"
"[1.144435627853753, 1.3713116603142204]"
"[1.1444329487396254, 1.3830672893183578]"
"[1.1444401662772403, 1.3948159391393904]"
"[1.1443914641143402, 1.4064012565680593]"
"[1.1443934655821524, 1.4166142846674037]"
"[1.1443702124988435, 1.4284096499838246]"
"[1.1443663139795213, 1.4399895682843542]"
"[1.1443609483832617, 1.4501258396959167]"
"[1.1443689572734006, 1.4616444757565905]"
"[1.1443019025443917, 1.4731064493873027]"
"[1.1443178858264262, 1.4833090150142847]"
"[1.1442923676643808, 1.4949594287031225]"
"[1.1442888895865848, 1.5066887603511576]"
"[1.144271838691209, 1.516749184433889]"
"[1.1442721855128435, 1.528388884393613]"
"[1.1442696219957487, 1.5399352077690178]"
"[1.144222279191112, 1.550035415915507]"
"[1.144221216414799, 1.5614516030262733]"
"[1.1442018651581662, 1.5696835390285406]"
"[1.1441983534833582, 1.5812389863961709]"
"[1.144189650410388, 1.5892789790769264]"
"[1.1442020077572503, 1.599225389312944]"
"[1.1441972109589238, 1.6106799910686733]"
"[1.1441701298720377, 1.6205473154036838]"
"[1.14417339688544, 1.6322389231638734]"
"[1.14415734955264, 1.643472775116211]"
"[1.144160635924652, 1.6537110166176208]"
"[1.1441536618744086, 1.6631980873740588]"
"[1.1441598883672919, 1.6734473550721567]"
"[1.1441274440173541, 1.6846831162353406]"
"[1.144137969083936, 1.6963421578653908]"
"[1.1441267121695882, 1.7063310924291857]"
"[1.144100194017909, 1.7180621488612415]"
"[1.1440955449393493, 1.728063071913286]"
"[1.1440934461477554, 1.7397507975647284]"
"[1.144103620000219, 1.7513324080299264]"
"[1.1440581006382948, 1.762930884848277]"
"[1.1440616950048241, 1.7744625618894634]"
"[1.1440434302181388, 1.784648168543607]"
"[1.1440395034318467, 1.796302095390184]"
"[1.1440346800938808, 1.8079415703334984]"
"[1.1440471520008788, 1.8196393465779932]"
"[1.143995712616577, 1.8311752935351897]"
"[1.1439967518425593, 1.8428669373508568]"
"[1.143963017474079, 1.8530008226875936]"
"[1.143980063930086, 1.864743308725795]"
"[1.1439698151909528, 1.8763613932996692]"
"[1.1439746610325268, 1.8879120072784479]"
"[1.1439320712281162, 1.8980502227876155]"
"[1.143962698789528, 1.90972339221568]"
"[1.1439544611270944, 1.9213751602685325]"
"[1.1439483175271083, 1.9329798664302555]"
"[1.1439526356624345, 1.9667147387259056]"
"[1.1439526375255937, 1.9667257249787928]"
"[1.1439526922686656, 1.9670485153154196]"
"[1.1439391974382236, 1.9467510639387282]"
"[1.1439286996752371, 1.9520419401777231]"
"[1.1439251779065598, 1.9538097582761154]"
"[1.1439374718417026, 1.95089748480255]"
"[1.143937860926893, 1.9589422591211032]"
"[1.143938137390611, 1.9653577425159232]"
"[1.1439368257859555, 1.953881683678555]"
"[1.143945103086674, 1.954925050632631]"
"[1.1439485859509166, 1.9552324896271793]"
"[1.1439563084506277, 1.9645804722079354]"
"[1.1439528273556585, 1.9659468992616551]"
"[1.143885018946897, 1.9749113734150672]"
"[1.1438848052660038, 1.9861557241355192]"
"[1.1438679205717066, 1.9976378154804755]"
"[1.1438678809824792, 2.007768426596864]"
"[1.1438623638246472, 2.019271707193003]"
"[1.1438726287033438, 2.030892545866439]"
"[1.1438365692352246, 2.04097995210578]"
"[1.1438244766456462, 2.052649986533647]"
"[1.1438159497175084, 2.0643581185063327]"
"[1.1438013681418895, 2.0759328353518267]"
"[1.143797462878082, 2.086140319045409]"
"[1.1438060377093198, 2.0978047357140848]"
"[1.143796006878547, 2.10953026091724]"
"[1.1437853566302032, 2.1211454057297683]"
"[1.1437778068803712, 2.132760353357789]"
"[1.1437698158781617, 2.14288884104005]"
"[1.1437634218501387, 2.1545989099117406]"
"[1.1437662235056807, 2.166175376584366]"
"[1.143767307293921, 2.176446478087087]"
"[1.1437331935125845, 2.188007378403723]"
"[1.1437372700441109, 2.1981828398347716]"
"[1.1437211491734693, 2.2098767843811595]"
"[1.1437276944355623, 2.217511737013131]"
"[1.1437232458063662, 2.2296102407445635]"
"[1.1437282724333186, 2.2352581595200185]"
"[1.1437335824227883, 2.2476168881555374]"
"[1.143695259876355, 2.2590054994327162]"
"[1.1436923314158922, 2.27074015253958]"
"[1.1436811794758204, 2.282515268223488]"
"[1.1436756604972815, 2.294290400034563]"
"[1.143669808508609, 2.304374058137767]"
"[1.143674956051947, 2.3159173370258324]"
"[1.1436032627307833, 2.3274727863102473]"
"[1.1436615293301489, 2.337805146832099]"
"[1.143586183628583, 2.3491565738414675]"
"[1.14358682405398, 2.359280516660155]"
"[1.1436632255776404, 2.366803585363819]"
"[1.143536811095644, 2.372806179417236]"
"[1.1436169046129545, 2.3808443166434183]"
"[1.1436203676422112, 2.3897391735332003]"
"[1.1435050311706514, 2.3974208244903186]"
"[1.143402439093918, 2.4063864763210265]"
"[1.143248778648931, 2.413489062858513]"
"[1.143221888015629, 2.4170720706295032]"
"[1.1430640422307468, 2.4185058407454565]"
"[1.143100714110027, 2.423140075082279]"
"[1.1429928637940219, 2.4301590134582702]"
"[1.1429514998038828, 2.4396960978950464]"
"[1.142959943194837, 2.4493627921432095]"
"[1.142980666219023, 2.4626289203644354]"
"[1.1427779691445197, 2.4742941172316217]"
"[1.1428378482104806, 2.489220459363874]"
"[1.1427732861378823, 2.502547507258786]"
"[1.1427814482589114, 2.5168729252466]"
"[1.142827126897185, 2.5342449861087895]"
"[1.1426679616276991, 2.5490578677341915]"
"[1.142654500333671, 2.5642469767409857]"
"[1.1426218591076984, 2.581656353822686]"
"[1.1426298404454898, 2.5988985325412433]"
"[1.14243590842157, 2.6136891928949675]"
"[1.1425967543818223, 2.6288682285050515]"
"[1.1423832509249698, 2.646274450845989]"
"[1.1423710440242112, 2.663572876766532]"
"[1.1424147517757217, 2.679107165871722]"
"[1.1423264263349764, 2.6968249082676787]"
"[1.142269915241199, 2.7144223333850523]"
"[1.1422453624066242, 2.7318087312876087]"
"[1.1422790577480322, 2.749288115789444]"
"[1.1421375384211558, 2.7645866100933087]"
"[1.1421246958645817, 2.782246194943287]"
"[1.1421358318212913, 2.7995907850602864]"
"[1.1421744153345077, 2.817167711641851]"
"[1.1419630915980206, 2.829275272251375]"
"[1.1420513027025498, 2.8469484648854513]"
"[1.1419688474598328, 2.8586957423659802]"
"[1.1419466864048966, 2.876482618508937]"
"[1.141934124228232, 2.8941152086771984]"
"[1.1419912911960775, 2.9116179284635084]"
"[1.1420475137270776, 2.929025155606149]"
"[1.142012467260568, 2.94653871729157]"
"[1.1419521935599442, 2.9642470803772505]"
"[1.1420982500377894, 2.9817425633853682]"
"[1.142137709301239, 2.9970331956978487]"
"[1.1421288358238422, 3.014594806953673]"
"[1.1420621617652256, 3.032064595157376]"
"[1.1422553675501275, 3.0493098181976563]"
"[1.1422260161683262, 3.0611769902035233]"
"[1.1422417946283097, 3.0787926793569604]"
"[1.1421734286814085, 3.0961372636259883]"
"[1.14230996913853, 3.111138113795036]"
"[1.142369015407382, 3.1282191716790404]"
"[1.1423958147979312, 3.1429425045960153]"
"[1.1423535866139687, 3.1602071685816666]"
"[1.142386299983461, 3.1776181024932786]"
"[1.1425197132838674, 3.192575399646072]"
"[1.142512655685385, 3.2096830808263777]"
"[1.142526646114027, 3.2246354588305683]"
"[1.1424547449098559, 3.2415983785836198]"
"[1.142616447249717, 3.256368350956302]"
"[1.142556060798516, 3.2734747901360572]"
"[1.1426106992036842, 3.288325236368286]"
"[1.1425768163433023, 3.3028934750465218]"
"[1.1426632948019264, 3.317511858669583]"
"[1.1427379680361152, 3.3347124499552554]"
"[1.1427999091538337, 3.349364146152424]"
"[1.1428542124025274, 3.3642959334882616]"
"[1.1428482765785741, 3.3790383757693236]"
"[1.1428647583695601, 3.3961922889104303]"
"[1.1427561590065751, 3.4127211275121327]"
"[1.1428709604785003, 3.4272408637704106]"
"[1.1428632813983433, 3.441995190769602]"
"[1.1428274621313006, 3.4542753058292317]"
