"[1.1449257907153738, 1.0131739984011146]"
"[1.1449229818199815, 1.0131629586488102]"
"[1.144923413296314, 1.0131725384102885]"
"[1.1449127565731199, 1.013176982836631]"
"[1.1449183632412065, 1.013172511303956]"
"[1.144915695836693, 1.0131705617873403]"
"[1.1449154111173463, 1.0131692027173003]"
"[1.1449147320709745, 1.0131673210750027]"
"[1.1449105837778355, 1.0131669592217345]"
"[1.144909944017423, 1.0131652492976146]"
"[1.1449042935850005, 1.01316359598087]"
"[1.1449053738828847, 1.0131640241334714]"
"[1.1449035945740473, 1.0131610472301755]"
"[1.144902083976301, 1.0131615735297455]"
"[1.144900660982643, 1.0131589773542955]"
"[1.1448969571703176, 1.0131581755698817]"
"[1.144893509831885, 1.013159957402557]"
"[1.1448907142428173, 1.0131567073990542]"
"[1.144888378435995, 1.0131546650515033]"
"[1.1448865231478915, 1.0131542042606805]"
"[1.1448833719000822, 1.0131527216286509]"
"[1.144880978167763, 1.0131513333543616]"
"[1.144878368432664, 1.0131501753731442]"
"[1.144876513669212, 1.01314795911066]"
"[1.1448777228441165, 1.0131478189766143]"
"[1.1448799686327822, 1.0131474249145134]"
"[1.1448805220355283, 1.013152183161613]"
"[1.1448803390797526, 1.013152107284517]"
"[1.1448682042569267, 1.013128951125393]"
"[1.144868431124518, 1.0131435610704354]"
"[1.1448650362773645, 1.013143735559337]"
"[1.1448633014347318, 1.013142116499696]"
"[1.1448616805368392, 1.0131416631939638]"
"[1.1448581988933373, 1.0131398007549077]"
"[1.1448540099979212, 1.013137712394173]"
"[1.1448531742943382, 1.0131371728478313]"
"[1.1448506966195984, 1.0131369369739334]"
"[1.1448477082777615, 1.0131344879683457]"
"[1.144845070281334, 1.0131344350315359]"
"[1.1448416477764767, 1.01313400115215]"
"[1.144838754779449, 1.013130513754196]"
"[1.14483646952525, 1.0131291682279293]"
"[1.1448322217194697, 1.0131287838879781]"
"[1.1448297836375854, 1.0131260374323487]"
"[1.1448268744986867, 1.013124226089152]"
"[1.1448242799097184, 1.0131230824543784]"
"[1.1448218702266333, 1.0131197403491774]"
"[1.1448179927503803, 1.0131190969261195]"
"[1.1448150076217543, 1.0131187064089615]"
"[1.1448121146723462, 1.0131171572851463]"
"[1.1448098589026412, 1.0131170303773809]"
"[1.1448066733735636, 1.0131135940704883]"
"[1.1448033558330446, 1.0131131431546179]"
"[1.1448010648918157, 1.0131281191720634]"
"[1.1447972297712283, 1.016041666766272]"
"[1.1447905587460232, 1.0242828014676129]"
"[1.1447916550690722, 1.0333466523984125]"
"[1.144744965193716, 1.043288351387514]"
"[1.1447458187155433, 1.0529920766132737]"
"[1.1447415944188835, 1.0646820934961274]"
"[1.1447134032424233, 1.0707280291316332]"
"[1.1447004430124867, 1.0824109371069612]"
"[1.1446810542621937, 1.0882858804256208]"
"[1.1446910059766866, 1.0983046152525529]"
"[1.1446869668212103, 1.1082981746479776]"
"[1.1446436359285226, 1.1180431860655093]"
"[1.1446363164744302, 1.1297041266020027]"
"[1.1445882938647456, 1.1397295683756141]"
"[1.1446077935915329, 1.1511900128863946]"
"[1.1445922740545438, 1.161221800455684]"
"[1.1445880418115897, 1.1713130672379322]"
"[1.1445906322442583, 1.1829360801963353]"
"[1.1445461829168209, 1.1928943399547425]"
"[1.144532334660305, 1.2044630190635044]"
"[1.1445152502661466, 1.2144515238551032]"
"[1.144499893059161, 1.2245603649813899]"
"[1.1444862868206513, 1.234200906522539]"
"[1.1444805687676365, 1.2460616751992253]"
"[1.1444388629616837, 1.2557336263729426]"
"[1.1444570279341593, 1.2676179065414996]"
"[1.144434914117237, 1.2792447131879072]"
"[1.144421193688688, 1.29095414727709]"
"[1.1444122145986604, 1.301088957270206]"
"[1.1444058412078497, 1.312758648064591]"
"[1.1444016051534538, 1.3243144476220767]"
"[1.1443307931715294, 1.3344597077964877]"
"[1.1443180450802564, 1.3460942715750082]"
"[1.1442904477943274, 1.354037897007169]"
"[1.1442977867354698, 1.3641961952371524]"
"[1.1442960911832094, 1.3718781138189071]"
"[1.1442878424553837, 1.3819349175659081]"
"[1.1442820611154838, 1.3933607976363547]"
"[1.1442334856999026, 1.40490764821109]"
"[1.1442246746148417, 1.416486300726881]"
"[1.1441986016483339, 1.4267057578534792]"
"[1.1442009325560543, 1.4382898388622896]"
"[1.144187736375462, 1.4481926991450111]"
"[1.1441843402295049, 1.4583205403825195]"
"[1.144182641102316, 1.467992958459895]"
"[1.1441556859381155, 1.479725168566947]"
"[1.1441448504407963, 1.489484458926048]"
"[1.1441202458680422, 1.5011449410653859]"
"[1.1441178003575636, 1.5127143344881337]"
"[1.144112573837488, 1.5228060681224351]"
"[1.1441095985259744, 1.5327245450177294]"
"[1.1440842840999914, 1.544176616120476]"
"[1.1440988286004377, 1.5541690645647708]"
"[1.144061388458096, 1.5657590208002377]"
"[1.1440460183140502, 1.5772764984696575]"
"[1.1440356613889986, 1.587260395032995]"
"[1.1440290027162552, 1.598855623046991]"
"[1.1440275989912565, 1.608873547855341]"
"[1.1439826883867965, 1.6202978085804738]"
"[1.1439768820869556, 1.630359479245357]"
"[1.1439552864224216, 1.6418570889469664]"
"[1.1439467063550965, 1.6519659335051544]"
"[1.1439380646833932, 1.6634704541603527]"
"[1.143934638349097, 1.67354496998343]"
"[1.143909935340333, 1.6849630727612281]"
"[1.1439191677516984, 1.6947041264100182]"
"[1.1438978305390837, 1.7063801179319495]"
"[1.143876769890897, 1.7179309723297742]"
"[1.143878074834104, 1.728054290590008]"
"[1.143866823487747, 1.7395587439674927]"
"[1.1438642105516725, 1.7495923357278957]"
"[1.1438167246419175, 1.7610969290547025]"
"[1.1438127776723896, 1.7711472339465246]"
"[1.1437873834648504, 1.7825813919045828]"
"[1.1438030581840157, 1.792670242062848]"
"[1.1437745885226114, 1.802528510531393]"
"[1.143765719993989, 1.8140290697869668]"
"[1.143759554327328, 1.8236924246671264]"
"[1.143736185011688, 1.833800717264864]"
"[1.1437327446466479, 1.8452112686514224]"
"[1.1437016385089354, 1.8551295634053417]"
"[1.1437030506793913, 1.8651159458279831]"
"[1.1436890754985753, 1.8765788143952238]"
"[1.1436882756424833, 1.8865709050340556]"
"[1.1436653778146801, 1.8980794138261883]"
"[1.1436574077454496, 1.909583969878559]"
"[1.143644348708635, 1.9197200347304342]"
"[1.1436251732327198, 1.9313753226061638]"
"[1.1436156559053128, 1.9411110470866735]"
"[1.143610606469642, 1.9527675658852908]"
"[1.1436084105934237, 1.9608367943829719]"
"[1.1435885693986676, 1.9724079329774047]"
"[1.1435800787758668, 1.9822278189250713]"
"[1.1435836395581875, 1.9922653053800061]"
"[1.1435598668080424, 2.003776617210467]"
"[1.1435480663311872, 2.0153426459679884]"
"[1.1435439256780835, 2.0269310641305873]"
"[1.1435346815276768, 2.0371789799761655]"
"[1.1435107093141108, 2.048956433624721]"
"[1.1434994567981536, 2.0606629937873593]"
"[1.1434872196841628, 2.0724587856431995]"
"[1.1434804013190063, 2.0822579141905697]"
"[1.1434712808824132, 2.0940960865879754]"
"[1.1434698406775035, 2.1055539974499937]"
"[1.1434395262394519, 2.1157030275664543]"
"[1.1434353123681957, 2.127399038622634]"
"[1.1434187535126226, 2.1391613324107133]"
"[1.1434110482626196, 2.150799785512003]"
"[1.14340474217136, 2.1608698400256228]"
"[1.14339886808242, 2.172344295828712]"
"[1.1433763182623295, 2.182285449452898]"
"[1.1433499359609574, 2.1923731231051287]"
"[1.1433340296257504, 2.2040212122879246]"
"[1.1433103969792606, 2.215592939679995]"
"[1.143305165752953, 2.225687640708932]"
"[1.1432979933892284, 2.2357067239819433]"
"[1.1432949658928129, 2.2473374977684943]"
"[1.1432835275277815, 2.2589160880084758]"
"[1.143278088471633, 2.2705376856778914]"
"[1.1432672123418437, 2.2807797891040607]"
"[1.143257675784207, 2.292515831194448]"
"[1.143248298591069, 2.304200089853682]"
"[1.1432474357448001, 2.315852739336403]"
"[1.1431981724411255, 2.325904440797623]"
"[1.1432365069627504, 2.3375951986575134]"
"[1.143221876663996, 2.3477669884976384]"
"[1.1431934951662768, 2.359485916116932]"
"[1.143189483138881, 2.3712120220689616]"
"[1.1431845082876324, 2.382763162606798]"
"[1.1431915241571422, 2.3913950460852873]"
"[1.1431374987014011, 2.3995023269434013]"
"[1.1430873194649815, 2.40795237837466]"
"[1.143050443284056, 2.4154678527551754]"
"[1.1429324923964956, 2.424233046237821]"
"[1.142949715629675, 2.43164654758202]"
"[1.1429350937224707, 2.4389230732144305]"
"[1.142959420388318, 2.445657272640896]"
"[1.142934137881726, 2.4478447516637485]"
"[1.1429361419128397, 2.4496461100593674]"
"[1.142949334538755, 2.456651161391262]"
"[1.1429458862029964, 2.4656339687565705]"
"[1.142878453035057, 2.4772951933675396]"
"[1.1428490212622864, 2.489708818540043]"
"[1.1428555037217845, 2.501662251320082]"
"[1.1428294567891517, 2.515420974158005]"
"[1.1428147367989647, 2.5285384474038572]"
"[1.1427719871822122, 2.544249424805093]"
"[1.1427993334291653, 2.558890142023594]"
"[1.1427768213525855, 2.576004116282801]"
"[1.1427886021038485, 2.592952559698367]"
"[1.1427590296500532, 2.608293481108295]"
"[1.1427227945617657, 2.6230410197639937]"
"[1.1426884095771164, 2.6380770698847695]"
"[1.1426625266877548, 2.6554308697779385]"
"[1.1426609726900863, 2.67034064949835]"
"[1.142671786001351, 2.6795885377645186]"
"[1.1426183556619256, 2.694216272578044]"
"[1.142667601476109, 2.71138816050378]"
"[1.1425985137887333, 2.726451682686777]"
"[1.142631086877109, 2.7441040700448633]"
"[1.1426719857267789, 2.761691765025189]"
"[1.1426501195463923, 2.77908573108408]"
"[1.1426616818616335, 2.794076777708735]"
"[1.1426762635322145, 2.811525639642778]"
"[1.1426896778670268, 2.8265499262500464]"
"[1.1426486026660418, 2.843654000433086]"
"[1.1426056705071832, 2.858481803475057]"
"[1.1426539089223666, 2.8756935056765114]"
"[1.1425949348031914, 2.890379312268712]"
"[1.1426199102069812, 2.9051143126811034]"
"[1.142659083934592, 2.9201741823194496]"
"[1.1426276764709742, 2.9370264378806294]"
"[1.1425976536652778, 2.9544546578775264]"
"[1.1427192901973207, 2.971900081927323]"
"[1.142668067610187, 2.9892439346527175]"
"[1.1427952787791449, 3.0066645873390634]"
"[1.1427482800885223, 3.02193703404301]"
"[1.1427687121501442, 3.039424870609982]"
"[1.1428752732794552, 3.0570344715216122]"
"[1.1429339835701129, 3.0745341107129476]"
"[1.1429663591777208, 3.0917270148250586]"
"[1.1430271423543705, 3.108970163214836]"
"[1.1430763435984972, 3.124099358785754]"
"[1.1431339279992416, 3.141413290871153]"
"[1.1431522352270485, 3.1585268323555282]"
"[1.143061024883731, 3.173502320364606]"
"[1.1430763424686405, 3.1900835163785577]"
"[1.143134776448456, 3.2042803730360596]"
"[1.1430420170164635, 3.2210116091277325]"
"[1.1429833792728563, 3.23828637573744]"
"[1.1430530778693193, 3.2534223286370394]"
"[1.1430554370620636, 3.270484756416394]"
"[1.1430780141624832, 3.288001145930878]"
"[1.1430456430303106, 3.30558313140514]"
"[1.1430586025745268, 3.322671254279457]"
"[1.1431691461802715, 3.3400492107164617]"
"[1.143183289104674, 3.3575684910326604]"
"[1.1431215674433843, 3.375287754504867]"
"[1.1431623212998439, 3.3927871035855923]"
"[1.143202179145368, 3.4102343656803535]"
"[1.1432816908336614, 3.427809454718138]"
"[1.143235158761524, 3.445255382587092]"
"[1.1432306628599689, 3.4602776693597157]"
"[1.1431291752732362, 3.4770534150373082]"
"[1.1431307242096749, 3.4888485864277774]"
"[1.1430458925443308, 3.5059269325270326]"
"[1.1429638665983277, 3.520771448587193]"
"[1.1430233841341442, 3.5376729287490103]"
"[1.1429451574943337, 3.5528517685332766]"
"[1.1428851784798133, 3.57017023116514]"
"[1.1428445788522963, 3.584542891827701]"
"[1.142724913165649, 3.602116570161697]"
"[1.1426428170529457, 3.618877047514051]"
"[1.1425390238403326, 3.636053651677085]"
"[1.1425566645689282, 3.6508652058158835]"
"[1.1424723144737277, 3.667841669925196]"
"[1.1422779641397827, 3.6847378963022437]"
"[1.1422719875693872, 3.7000619556309964]"
"[1.142151239762769, 3.717624181386556]"
"[1.1421198526800374, 3.735078998628187]"
"[1.1418509582922363, 3.7502761408354894]"
"[1.141841936037297, 3.76767630368723]"
"[1.141730979240449, 3.785219584594031]"
"[1.1416726393741894, 3.802484868702909]"
"[1.1415401340073046, 3.8175499979750542]"
"[1.1414865039190516, 3.8350891139298104]"
"[1.141333877169898, 3.8523872235103487]"
"[1.141308751007872, 3.8700433645951247]"
"[1.141231429103832, 3.882352528144628]"
"[1.1410800861308312, 3.8999420131178955]"
"[1.1410498184763374, 3.91749165441169]"
"[1.1409768652838344, 3.9350543231527433]"
"[1.140948227246405, 3.946822182633109]"
"[1.1408191612801744, 3.9647583354194214]"
"[1.1407790438784475, 3.9736547305193737]"
"[1.1404635680262856, 3.9918633270534762]"
"[1.1403650626665855, 4.002702380804644]"
"[1.1403374144756329, 4.020514628003313]"
"[1.1401348730899104, 4.029403358636371]"
"[1.1399863301714597, 4.0475163229619335]"
"[1.1398530235189284, 4.064877484394182]"
"[1.1397499102042392, 4.08245256039821]"
"[1.13960013442701, 4.1003556656381415]"
"[1.1394105630210654, 4.11833024225008]"
"[1.1392546971115687, 4.132822596955834]"
"[1.1392307521483294, 4.150387006726992]"
"[1.1392190735473664, 4.162691083708985]"
"[1.138930715419444, 4.1799876954550985]"
"[1.1388948916265633, 4.194721090674872]"
"[1.1388078522150529, 4.212036960366804]"
"[1.1387494464827759, 4.226984223522134]"
"[1.1386369302828054, 4.242203330157156]"
"[1.1385447874015577, 4.259391960278046]"
"[1.1384979045481136, 4.27695710831246]"
"[1.1384624268098555, 4.291126215916183]"
"[1.1384340750450916, 4.306620703217543]"
"[1.1383091046390716, 4.3235519983614425]"
"[1.1381469412815273, 4.3409578584019775]"
"[1.1381607710864319, 4.3578700733339435]"
"[1.1381845275306692, 4.3731316690236905]"
"[1.138100790122352, 4.390729439370693]"
"[1.1379299333848512, 4.4056357004961875]"
"[1.1380008827169195, 4.422660003946403]"
"[1.1379424210208902, 4.43781689409576]"
"[1.1378852513873294, 4.4527169567755305]"
"[1.1379508195783912, 4.467356963276598]"
"[1.1378971240107483, 4.484637011792258]"
"[1.137874827845468, 4.501910792709765]"
"[1.1378193870195177, 4.51712994805927]"
"[1.137832428926522, 4.53272282722461]"
"[1.1378087246779025, 4.5501133924659465]"
"[1.137864798843319, 4.564934560370512]"
"[1.13787165170194, 4.581782160295124]"
"[1.1378498397440373, 4.596697113550838]"
"[1.1376836721577983, 4.6113334109573945]"
"[1.1379261071556575, 4.62544171661371]"
"[1.1379255923393703, 4.64203804497612]"
"[1.1377862394612217, 4.657034837718198]"
"[1.1379095591114015, 4.673865881182469]"
"[1.1378160103166666, 4.690753767006963]"
"[1.1378058538575437, 4.705848091946901]"
"[1.1378087501022434, 4.722701498379893]"
"[1.1379515023908648, 4.737572999612034]"
"[1.1378949564555116, 4.754951487062297]"
"[1.1380222353354625, 4.771582129425762]"
"[1.1380066240461584, 4.788638669592971]"
"[1.1380069475529475, 4.80363289764353]"
"[1.1381072665514143, 4.82044213119208]"
"[1.1381980939116036, 4.83540137362296]"
"[1.1381908988945664, 4.85279480867736]"
"[1.1381129270200803, 4.870066525416748]"
"[1.1382519725806255, 4.885099510811444]"
"[1.1382947555881704, 4.899751142730874]"
"[1.1383891617648159, 4.908851482720381]"
"[1.1383443884890951, 4.923125633126311]"
"[1.138308503490711, 4.935395744651537]"
"[1.1383775992155756, 4.952228071606869]"
"[1.1384696517950033, 4.967274534588611]"
"[1.138506211687301, 4.984561957940062]"
"[1.138567964677912, 4.999469157942544]"
"[1.1385235501315893, 5.016525263114457]"
"[1.138703008144156, 5.031548213189211]"
"[1.1387342396892275, 5.0461830133002294]"
"[1.1388075727624956, 5.0636897315437635]"
"[1.1387272368594752, 5.081101664603824]"
"[1.138899455280677, 5.093282595357441]"
"[1.1389311424379802, 5.108464716668126]"
"[1.138909783404102, 5.125311282213482]"
"[1.1390521872939958, 5.139711963241975]"
"[1.1388679211222708, 5.154871226415743]"
"[1.1391375489814848, 5.169752157182268]"
"[1.1391677330477725, 5.186899552185388]"
"[1.139262143515277, 5.201926162754806]"
"[1.1392320808370533, 5.216924054701776]"
"[1.139307343167911, 5.231823185554878]"
"[1.1394501959738488, 5.24639706697819]"
"[1.13960536702903, 5.261069888902705]"
"[1.1396057215088278, 5.273098508602786]"
"[1.1396094323807306, 5.2880915700548545]"
"[1.1395729456569443, 5.302476913802409]"
"[1.1397380071526033, 5.317168959050518]"
"[1.1398254972468773, 5.329373247743212]"
"[1.1398139693828195, 5.3464362587696925]"
"[1.139774550993059, 5.361610922039686]"
"[1.1398059003539998, 5.373357375448537]"
"[1.1399105417212987, 5.388815158917209]"
"[1.1400184152214663, 5.405247534290239]"
"[1.1401105438698909, 5.420332329420207]"
"[1.1400511223754108, 5.435082242429725]"
"[1.1399853604498051, 5.449651294432811]"
"[1.1402426463827802, 5.464806593354789]"
"[1.1402708930517906, 5.481477780784206]"
"[1.1403515683062213, 5.496583442556466]"
"[1.1402890308992488, 5.513933457440997]"
"[1.1403635443228286, 5.531264571254154]"
"[1.1404085907352135, 5.548534468099615]"
"[1.1405529784377706, 5.563823444512279]"
"[1.1404513052496053, 5.58135820094963]"
"[1.1405310720170152, 5.596137680695001]"
"[1.1407176272899973, 5.613228734807563]"
"[1.1408069162778307, 5.62808310970985]"
"[1.1408764412450776, 5.645468887278238]"
"[1.1409785693977992, 5.660613187819005]"
"[1.1411849834183725, 5.675587373491468]"
"[1.1413210869818813, 5.690427381370211]"
"[1.141311649252826, 5.701656691168574]"
"[1.1414493146458295, 5.716842145904993]"
"[1.1415371402755699, 5.730504277122887]"
"[1.1416463746902996, 5.7454993687555245]"
"[1.1417749737010778, 5.762514915886936]"
"[1.1419957540301677, 5.779548654637093]"
"[1.1420968131842104, 5.794479722179082]"
"[1.1423082682263699, 5.809271457046683]"
"[1.1424686167809561, 5.823761249356415]"
"[1.1425630970149263, 5.837810873955931]"
"[1.1427918869241784, 5.85247233594294]"
"[1.1427725526210923, 5.868668194863824]"
"[1.143010898047457, 5.88318268631017]"
