"[1.2449223999155308, 1.013156702331096]"
"[1.2449223962648799, 1.013156699486328]"
"[1.2449210512450557, 1.0131594513116868]"
"[1.2449213025625034, 1.0131586393824699]"
"[1.2449193488205328, 1.0131568419094918]"
"[1.244916235163459, 1.01315881510234]"
"[1.2449157960648707, 1.0131567759520332]"
"[1.244913791817907, 1.0131535543903436]"
"[1.244911106967134, 1.013149617247399]"
"[1.244907982820417, 1.0131500376224534]"
"[1.2449099990217811, 1.013149854088121]"
"[1.2449043643357924, 1.013148895818887]"
"[1.2449041989273628, 1.0131510155733647]"
"[1.2449024309401302, 1.0131500782810272]"
"[1.24489897528637, 1.0131467269993202]"
"[1.2448959475731842, 1.013143574014088]"
"[1.2448911097187423, 1.0131451475580544]"
"[1.2448903445536268, 1.0131424692396198]"
"[1.2448881076673946, 1.0131412570584992]"
"[1.2448866092122588, 1.0131414419521527]"
"[1.244882924532646, 1.0131397525824786]"
"[1.2448805353710948, 1.0131376306450763]"
"[1.2448778858509555, 1.0131360209151772]"
"[1.2448766970049168, 1.0131353336573936]"
"[1.2448784266006618, 1.0131331912259052]"
"[1.2448737812892954, 1.0131272480779387]"
"[1.244872538128256, 1.0131233469883711]"
"[1.2448718528004346, 1.0131325876486996]"
"[1.2448696398238448, 1.0131316957674046]"
"[1.244866222461404, 1.0131303505394083]"
"[1.244863400805335, 1.013129511165902]"
"[1.2448606283781873, 1.0131280146775192]"
"[1.2448591931405004, 1.0131261441447574]"
"[1.2448559784742605, 1.013124403933709]"
"[1.2448526613194633, 1.013123006677647]"
"[1.2448502027860704, 1.0131224150716236]"
"[1.2448480118727014, 1.013120910528682]"
"[1.244845689742068, 1.0131200713962838]"
"[1.2448420242235325, 1.0131188400582245]"
"[1.2448408181951156, 1.013117565274175]"
"[1.2448372181479834, 1.0131171601717537]"
"[1.2448344358071939, 1.0131144009527968]"
"[1.2448321591461085, 1.0131132820463895]"
"[1.2448282115599232, 1.013112319954563]"
"[1.244826540066991, 1.0131111840327718]"
"[1.2448244829644362, 1.0131093159232505]"
"[1.2448215252434869, 1.0131075206043627]"
"[1.2448190876128442, 1.0131070930940345]"
"[1.2448165635052264, 1.0131066281187735]"
"[1.2448128111648549, 1.0148830706035035]"
"[1.2448039672645772, 1.0231898453018813]"
"[1.244802541960793, 1.0314323146674218]"
"[1.24473973177601, 1.041222311425813]"
"[1.2447848406314697, 1.0509144586470633]"
"[1.244759242356915, 1.0588187843601615]"
"[1.2447350432936972, 1.0689103456759599]"
"[1.2447247766350245, 1.076521994937849]"
"[1.2447175488678557, 1.0866692412475614]"
"[1.2447120318086848, 1.096434867492424]"
"[1.2447079092337299, 1.1063380404985392]"
"[1.2446521282234502, 1.1177359574063759]"
"[1.2446455289505545, 1.1278153730254108]"
"[1.2446232325274846, 1.1382242295602283]"
"[1.2446178312041765, 1.1473176137670535]"
"[1.244607085596739, 1.1589709432159543]"
"[1.2446048152073053, 1.1689461572274353]"
"[1.2445965035306938, 1.1789376153935087]"
"[1.2445643628525107, 1.1889097025911373]"
"[1.2445574681655445, 1.198825093603837]"
"[1.2445460845020255, 1.2085196032926206]"
"[1.2445199542451746, 1.218505312204994]"
"[1.2445137576346421, 1.2283614750125353]"
"[1.2445037384034747, 1.2382615961840755]"
"[1.24450136423009, 1.2480672418680583]"
"[1.2444524059597093, 1.259523136831454]"
"[1.2444489042948255, 1.2695818559862133]"
"[1.2444323251609064, 1.2795047439995106]"
"[1.2444278005461904, 1.2893166801145137]"
"[1.2444171809171942, 1.2990907069240634]"
"[1.2444127155746814, 1.306963761729043]"
"[1.244409695029049, 1.3152141664712396]"
"[1.2444064687092882, 1.3249123977882815]"
"[1.2443599130856677, 1.334632823045349]"
"[1.2443452369573873, 1.3443902620694133]"
"[1.2443090297463364, 1.3542255307022337]"
"[1.2443189395937477, 1.3639601185565828]"
"[1.2443032170107649, 1.3737500729266303]"
"[1.244298422751098, 1.3817894325442721]"
"[1.2442921204645494, 1.3916503950506092]"
"[1.244247296735276, 1.3993938366490795]"
"[1.2442749367244221, 1.4109209419929203]"
"[1.24425793508898, 1.4188446758242912]"
"[1.2442439384698367, 1.4288593659019506]"
"[1.2442303135184969, 1.4386977800595162]"
"[1.2442231426104209, 1.4485486477875438]"
"[1.2442168019995357, 1.4583096488513752]"
"[1.244208767400728, 1.468182497455783]"
"[1.2441799168229244, 1.4795743423841614]"
"[1.2441695773627455, 1.4895072455262397]"
"[1.2441348203416918, 1.4993572324265025]"
"[1.2441359174493953, 1.509247721939193]"
"[1.2441236071471884, 1.5190875802460921]"
"[1.2441179280544263, 1.530386742358736]"
"[1.2441060867150568, 1.5402988476551898]"
"[1.2440760127773935, 1.5501417894757055]"
"[1.2440709941799042, 1.560043251243711]"
"[1.2440498534040558, 1.5698897841221522]"
"[1.2440511959556941, 1.579743586211833]"
"[1.2440329903409582, 1.5895577560726346]"
"[1.2440309508906886, 1.5993626618997128]"
"[1.2440265328772828, 1.6091557639772056]"
"[1.2439740381298587, 1.6203952979843441]"
"[1.243968374169931, 1.630392661042416]"
"[1.2439445860542442, 1.6403310789039693]"
"[1.2439445609119135, 1.6517064867512632]"
"[1.2439317528724314, 1.6616857999134056]"
"[1.2439286385020774, 1.6716414321878517]"
"[1.2439259847353392, 1.6814450927468365]"
"[1.2438912583785737, 1.6928668410125718]"
"[1.2438826171368056, 1.7028109623565109]"
"[1.2438631531822484, 1.7142794944915318]"
"[1.2438573295997328, 1.7242342142753686]"
"[1.2438463527923014, 1.7341327044872028]"
"[1.2438440326002302, 1.7440407908742823]"
"[1.2438201909967668, 1.7554160044936473]"
"[1.2438395785792908, 1.7653365328257842]"
"[1.243794999517585, 1.7767421155176781]"
"[1.2437774506069903, 1.7849797782610997]"
"[1.243765347291838, 1.7948983493419473]"
"[1.2437538939417359, 1.8045526356495116]"
"[1.243755068770477, 1.8143199798409835]"
"[1.2437461592172834, 1.8241325528541148]"
"[1.2437286133280412, 1.8353521549083585]"
"[1.243721625402027, 1.8452963223197991]"
"[1.2437005942270043, 1.8552078608096327]"
"[1.2437022408007183, 1.8631407487712168]"
"[1.2436926945697977, 1.8731760728331805]"
"[1.2436925924405426, 1.8809309901494295]"
"[1.2436924316214883, 1.8922977065801296]"
"[1.2436639437861414, 1.9020599713391972]"
"[1.2436606713894185, 1.9120113595324888]"
"[1.2436440394533148, 1.9218576729998444]"
"[1.24363349049338, 1.9331423874041074]"
"[1.2436258526003692, 1.943055616676605]"
"[1.2436174656519052, 1.9528762324149422]"
"[1.2436230020639927, 1.9610765694015024]"
"[1.243599179605673, 1.970871911042819]"
"[1.2435987517828109, 1.9806317321071194]"
"[1.243599156568104, 1.9903440676150281]"
"[1.243583539620743, 2.000134849536756]"
"[1.2435732253988034, 2.0098203786829054]"
"[1.2435697585733108, 2.0196634721680917]"
"[1.2435680006034862, 2.029576227033291]"
"[1.2435371412101799, 2.0408892665193377]"
"[1.2435221789655622, 2.0509723073535424]"
"[1.2435169436009406, 2.0624886801601283]"
"[1.2435045566198086, 2.072588552949071]"
"[1.2434956340563608, 2.0821611822267165]"
"[1.2434866245793041, 2.0921918822178336]"
"[1.2434892711502483, 2.100173639879271]"
"[1.2434803374023262, 2.11010056803484]"
"[1.2434497305448715, 2.119618330943673]"
"[1.2434415338388496, 2.1278404026564743]"
"[1.2434331027827359, 2.1375643276893483]"
"[1.2434289066719613, 2.14883058512254]"
"[1.2434207637213315, 2.1586472680309776]"
"[1.243425018585398, 2.1685307474119395]"
"[1.2434164169148207, 2.178318324785379]"
"[1.243380314938314, 2.1880484912127742]"
"[1.243373237964299, 2.1963677964362964]"
"[1.2433744387486978, 2.2059930601883986]"
"[1.2433600229556714, 2.2159636330137644]"
"[1.2433531194477414, 2.225780038564679]"
"[1.243349640915124, 2.23562398266725]"
"[1.2433445852015979, 2.2454861157493644]"
"[1.2433367935415496, 2.255237151527868]"
"[1.2433184949073, 2.265160745456486]"
"[1.2433183343299383, 2.2764999832792707]"
"[1.2433017940566355, 2.28638555964172]"
"[1.2432935230716171, 2.294699910416102]"
"[1.243282074493625, 2.304406266102042]"
"[1.24328290963283, 2.3141392066595254]"
"[1.2432799855800483, 2.3203788768333053]"
"[1.2432554377774074, 2.3282520087335095]"
"[1.2432565288681128, 2.3380143076399147]"
"[1.2432562566032412, 2.3476638050637524]"
"[1.2432481005090057, 2.355736081280302]"
"[1.2432414297541483, 2.367203552148679]"
"[1.2432313780186057, 2.3733302006871955]"
"[1.2432351082685529, 2.383352044517253]"
"[1.2432457681022957, 2.393063910392266]"
"[1.2432155741007234, 2.4028740142256213]"
"[1.2432259691875418, 2.415621353341028]"
"[1.243198789684307, 2.431633983579126]"
"[1.2431713260624984, 2.4464559177581937]"
"[1.243185932927357, 2.461377375880878]"
"[1.243032286053939, 2.47625447223235]"
"[1.2429725265293856, 2.4932118482983907]"
"[1.2429351676911586, 2.508148453112424]"
"[1.2429100547429714, 2.5230170892744463]"
"[1.2429104210589885, 2.538130627985671]"
"[1.2427147495463144, 2.5528674334068007]"
"[1.242625603425316, 2.5677520034565426]"
"[1.2425753681600684, 2.5823752333770407]"
"[1.2425577551904463, 2.5996178999915815]"
"[1.2423502393724644, 2.614430234528505]"
"[1.2423829464806766, 2.6293713257869427]"
"[1.2421207826927323, 2.6442719007872766]"
"[1.2421099675679115, 2.659012615500775]"
"[1.2421390750379084, 2.6737902240463605]"
"[1.241892986343289, 2.6880059853963316]"
"[1.2418498300992196, 2.702940013180863]"
"[1.2416423126926364, 2.7179970637627466]"
"[1.2415882539595562, 2.7350258644473158]"
"[1.2415117814382977, 2.7499942803922575]"
"[1.2412885845133883, 2.764986060731739]"
"[1.2412258588045169, 2.7798244148387203]"
"[1.2410972644202931, 2.79453863523097]"
"[1.241056142858562, 2.809258096093005]"
"[1.2409124329070338, 2.823880168439517]"
"[1.240685053382065, 2.838730139253895]"
"[1.240545909898516, 2.853353306968183]"
"[1.2403941914801004, 2.8681161711636607]"
"[1.2403657483909025, 2.88277053655495]"
"[1.2401125268309336, 2.8998285004371955]"
"[1.2399652834806594, 2.91449227376647]"
"[1.2397844443264208, 2.929434940562034]"
"[1.2396781970465973, 2.943781949091819]"
"[1.2395421106609803, 2.9586735520804015]"
"[1.2393159126502855, 2.973442799507936]"
"[1.2391298173045637, 2.988299332588234]"
"[1.2389043322066406, 3.005326858843134]"
"[1.2388684529860123, 3.020289305378616]"
"[1.2386314260808664, 3.0350643253576277]"
"[1.2383902162499716, 3.049811117950972]"
