"[1.0420512671513642, 1.035293695015428]"
"[1.0420491212596792, 1.0353010559869142]"
"[1.0420468896258768, 1.0353121729040085]"
"[1.0420492839549031, 1.0353230717003667]"
"[1.042042498283592, 1.035334439186841]"
"[1.0420411759725448, 1.035340576260451]"
"[1.042042845520568, 1.0353550394709912]"
"[1.0420400248842123, 1.0353630553088797]"
"[1.0420349983085215, 1.0353717878488855]"
"[1.0420315812126306, 1.0353806535164232]"
"[1.0420302016390581, 1.0353878924291293]"
"[1.0420229055632708, 1.0353942400602445]"
"[1.0420134897155224, 1.0354006030540417]"
"[1.042001950782599, 1.0354050185367782]"
"[1.0419955796903908, 1.0354143405871075]"
"[1.041993537561973, 1.0354209885981145]"
"[1.0419954421464621, 1.0354286983995156]"
"[1.0419937965020263, 1.0354366476703438]"
"[1.0419905441269643, 1.0354456814256032]"
"[1.041995066474112, 1.0354580359677683]"
"[1.0419864789710813, 1.035463450996713]"
"[1.041979341593914, 1.0354668216017402]"
"[1.041973121908328, 1.0354772915984147]"
"[1.0419714964356737, 1.035485924464166]"
"[1.0419700434537147, 1.0354955901367047]"
"[1.0419632008358586, 1.035503053478503]"
"[1.0419608045555302, 1.035510966198758]"
"[1.0419542270490905, 1.0355174818042279]"
"[1.0419509703346046, 1.0355252293824773]"
"[1.0419413766959331, 1.0355316476964282]"
"[1.0419340152203291, 1.0355374161981878]"
"[1.0419241490754998, 1.0355419654405635]"
"[1.041918045579555, 1.0355502781574324]"
"[1.0419111736087239, 1.0355569724534408]"
"[1.0419045184621196, 1.0355634742827378]"
"[1.0419099485570158, 1.0355721786538559]"
"[1.0419048599126624, 1.0355798985797704]"
"[1.0419046124679847, 1.035591009598551]"
"[1.0419031446340432, 1.0356010802828362]"
"[1.041901892032127, 1.0356094276064658]"
"[1.0418932911003094, 1.0356176478702668]"
"[1.0418866369764592, 1.0356276118536143]"
"[1.041884368490009, 1.035636003616242]"
"[1.0418780843776863, 1.0356432807634188]"
"[1.041874299511208, 1.035649206279935]"
"[1.0418700842358724, 1.0356608247142343]"
"[1.0417934671784947, 1.044714609702103]"
"[1.0417165018018555, 1.0551880306276042]"
"[1.0416866126562987, 1.0638875677361312]"
"[1.0417007434827947, 1.0726683839262316]"
"[1.0417060863391299, 1.0823405716064558]"
"[1.041685502216099, 1.0904781585895171]"
"[1.041679229101824, 1.0995521378508284]"
"[1.0416307983351223, 1.1092409678138522]"
"[1.0414597590284065, 1.1158779025963264]"
"[1.0413713181933069, 1.1200869308430363]"
"[1.041134438171552, 1.123069722014576]"
"[1.04113948865225, 1.1278634961218974]"
"[1.0410788877258028, 1.1382322365224595]"
"[1.041069724715608, 1.1483177685161838]"
"[1.0409949616404355, 1.1572541686722508]"
"[1.040784599305698, 1.1689626980176888]"
"[1.0408414250240166, 1.1790495390136202]"
"[1.0409263685899197, 1.1907183967564876]"
"[1.0409867330739482, 1.202264836741573]"
"[1.0410174049508651, 1.2144404521301109]"
"[1.0411054489482379, 1.2278524716413288]"
"[1.0412107219618651, 1.241922052310967]"
"[1.0413327056261787, 1.2546741723781787]"
"[1.0411500144057193, 1.2686025680669286]"
"[1.0412013925856705, 1.2858864639456171]"
