"[1.2420563328396026, 1.0352783192275845]"
"[1.2420517162849025, 1.0352887946383682]"
"[1.2420509621819136, 1.035298824520382]"
"[1.2420512492096187, 1.0353093559566366]"
"[1.2420471666310648, 1.0353203234517179]"
"[1.2420442270817564, 1.0353294847258103]"
"[1.2420427763789619, 1.035340806081799]"
"[1.2420403584718533, 1.0353496520233287]"
"[1.2420411376434357, 1.0353619946515829]"
"[1.242031653547131, 1.0353695738747433]"
"[1.242034673199474, 1.0353780878518912]"
"[1.2420298825210963, 1.0353865977786252]"
"[1.2420229137721261, 1.035393614205901]"
"[1.242014805696468, 1.0353981924719373]"
"[1.2420050063872623, 1.0354044857050608]"
"[1.2419975690126375, 1.0354127508079585]"
"[1.2419912864195681, 1.0354187595480857]"
"[1.2419927992899753, 1.0354265942640137]"
"[1.2419944513325147, 1.0354352593791218]"
"[1.2419878358578023, 1.0354424500355786]"
"[1.2419932452950155, 1.0354554028244172]"
"[1.2419889199140564, 1.0354625628455265]"
"[1.2419804683010984, 1.0354661856530927]"
"[1.2419736728144644, 1.0354734769467935]"
"[1.24197636862187, 1.0354799884365162]"
"[1.2419789016150056, 1.0354795965010883]"
"[1.2419767062536964, 1.0355358122799267]"
"[1.2419718139546005, 1.0354884928492354]"
"[1.2419700113091734, 1.0355019591614774]"
"[1.2419701091412185, 1.0355118778786185]"
"[1.2419702393743777, 1.035525084386174]"
"[1.241963640534708, 1.0355053804864303]"
"[1.2419380686812773, 1.0355100357453961]"
"[1.2419560712307212, 1.0355141641360484]"
"[1.2419534768579328, 1.0355226731376712]"
"[1.2419441092173533, 1.0355291034183582]"
"[1.2419348100120957, 1.0355360855770788]"
"[1.2419260021926186, 1.0355412662133707]"
"[1.2419162196540177, 1.0355484483118491]"
"[1.2419114351918408, 1.0355559748051024]"
"[1.2419074237384284, 1.0355640871263232]"
"[1.2419078011209463, 1.035568524905983]"
"[1.2419048884398924, 1.0355786813385743]"
"[1.2419064000926925, 1.0355891684968839]"
"[1.2419026649747829, 1.0355985256581064]"
"[1.2419011667484017, 1.0356081446283627]"
"[1.2418943018818989, 1.0356163015091235]"
"[1.2418865861956323, 1.035625706083455]"
"[1.24188476488742, 1.0356349312932664]"
"[1.2418370535503969, 1.0412423520166243]"
"[1.241787828934833, 1.0521197121067847]"
"[1.2416629585872618, 1.0611399338676333]"
"[1.2417895265553054, 1.0685195719877738]"
"[1.241840040014185, 1.0757086254763772]"
"[1.241812074543261, 1.0802454648020317]"
"[1.241815357431274, 1.0864325467126625]"
"[1.2418671546977922, 1.092208344670839]"
"[1.2420083600205167, 1.0979171970730615]"
"[1.2421233500743805, 1.1017700224079512]"
"[1.2421995006785174, 1.1042646688732114]"
"[1.2422318234718124, 1.1052899668803053]"
"[1.2422509257725982, 1.1105342073880182]"
"[1.2421948468702229, 1.1211256809413808]"
"[1.242102817453771, 1.1313456686397665]"
"[1.2420359984200846, 1.1398953831841871]"
"[1.2418706345216333, 1.1499831795004596]"
"[1.2416982666963385, 1.1575345340769359]"
"[1.241540605285645, 1.1668772931205746]"
"[1.2415734003797583, 1.1761279152939528]"
"[1.2415878701127927, 1.1859907267971599]"
"[1.2415065243978844, 1.1977008769461437]"
"[1.241347560938464, 1.212382046738645]"
"[1.2410547462937223, 1.2280087543780198]"
"[1.240854419299983, 1.2446881558795593]"
"[1.2407782343087421, 1.2618498531656297]"
"[1.2407305378268976, 1.2775937394053147]"
"[1.2402895327813608, 1.2916215432449938]"
"[1.239964634436914, 1.3137532167559263]"
"[1.2399311525896985, 1.3307346772550195]"
"[1.2396851405213467, 1.344665707163987]"
"[1.2395259273881902, 1.361276383277796]"
"[1.2389097775121174, 1.3777523332120754]"
"[1.2387150489067862, 1.393111600443181]"
"[1.2384691989391738, 1.4172567566254224]"
"[1.2380388541405611, 1.4415606628852884]"
"[1.238088254545948, 1.4594585469152481]"
"[1.2378158714197554, 1.4750467084594225]"
"[1.237593209092002, 1.4924535908766576]"
"[1.237403112510519, 1.5076233345297105]"
"[1.23709536547194, 1.5245040834840118]"
"[1.2368992990311864, 1.5408791069165986]"
"[1.236636093532212, 1.557562539736822]"
"[1.2363271832611062, 1.5759033078622822]"
"[1.2361125991497321, 1.593058248906178]"
"[1.2353898864490562, 1.614122231823242]"
"[1.2353310207317942, 1.630657042035718]"
"[1.2350237672717796, 1.6474386959210092]"
"[1.2347810614380244, 1.665339287422789]"
"[1.2344350284753682, 1.6807857535584967]"
"[1.2340140924211704, 1.6969703931823183]"
"[1.23370941720874, 1.7135976573671146]"
"[1.2334382865111164, 1.726816109533756]"
"[1.2332458023671935, 1.7403739717533442]"
"[1.2327215655456345, 1.7572782900189998]"
"[1.2324319955113754, 1.780390140984427]"
"[1.2321836409045461, 1.7988150992671805]"
"[1.231959307365008, 1.8151500092778656]"
"[1.2313941025241861, 1.8307583218353596]"
"[1.2310974821153882, 1.847451034460495]"
"[1.2308282279485894, 1.863632452369897]"
"[1.2304198715263142, 1.8857749175661915]"
"[1.2300643379996175, 1.9045442951303224]"
"[1.22976793733478, 1.9211527431441757]"
"[1.2295138592886108, 1.9365612657570657]"
"[1.2291075092868708, 1.952879692013946]"
"[1.2287204624568533, 1.975854592348217]"
"[1.228414040766089, 1.9929718022199017]"
"[1.2281218233321558, 2.011378385448973]"
"[1.227788398086186, 2.0294752193401995]"
"[1.2275509437722898, 2.0466445082594427]"
"[1.2274178849115485, 2.062941118950835]"
"[1.2272119763883216, 2.085833931888781]"
"[1.2270415914685964, 2.103994055358927]"
"[1.226934710964975, 2.1224782766717567]"
"[1.2265611088737733, 2.1395485247067842]"
"[1.226523268968166, 2.1576548731457357]"
"[1.2264697150772839, 2.1738311316818657]"
"[1.2264363517146122, 2.192871025392839]"
"[1.226242056827139, 2.20834652619617]"
"[1.2260163295843696, 2.2265961010247013]"
"[1.2259717381811475, 2.243651016263255]"
"[1.2259189985296692, 2.26137510960501]"
"[1.2256787640439148, 2.2826992541634206]"
"[1.2256783482118425, 2.2994264719809667]"
"[1.2255628680449435, 2.3169880449632534]"
"[1.2254240240536436, 2.335906413716107]"
"[1.225465030894561, 2.359335982537454]"
"[1.2254266453479064, 2.378060766939674]"
"[1.2252876143390334, 2.3998689173314425]"
"[1.2252319518470514, 2.4246951547893985]"
"[1.2250664834363327, 2.444504350019563]"
"[1.2249348094272718, 2.4590210237615904]"
"[1.2248166352026562, 2.475705218455548]"
"[1.2247419451437658, 2.4918052827908777]"
"[1.2245731069583572, 2.511271557069117]"
"[1.2244425358099578, 2.5245374509732725]"
"[1.2242769714166077, 2.5418619303101555]"
"[1.2243512255815414, 2.55958745650827]"
"[1.2241971081139278, 2.5772141197931204]"
"[1.2241760651588771, 2.5949152844635406]"
"[1.2239040268806223, 2.618264158547993]"
"[1.223974152082219, 2.637201954803811]"
"[1.2236760625883938, 2.6543218568991214]"
"[1.2235578097204303, 2.6764855787561994]"
"[1.2232477708461476, 2.693696134976752]"
"[1.2231566117027761, 2.712061189168613]"
"[1.2230616656663296, 2.732785853614364]"
"[1.2228889967955054, 2.755470846437411]"
"[1.22274983442581, 2.7785184249563986]"
"[1.2225030279485911, 2.796554364250299]"
"[1.2224569663361085, 2.813872808985207]"
"[1.2223443483053418, 2.832343097285152]"
"[1.22204178017408, 2.851432571631562]"
"[1.2217403127238842, 2.8657580010120225]"
"[1.2217563407359067, 2.884511699592067]"
"[1.2216687071186367, 2.902128376632444]"
"[1.2214635842186488, 2.9203831170066157]"
"[1.2210668705167709, 2.9427809986602638]"
"[1.2210500130152107, 2.959159561388286]"
"[1.2210069004401645, 2.976731430635265]"
"[1.2206858026936418, 2.998045461023543]"
"[1.220274277386012, 3.017995089274069]"
"[1.2199939890128562, 3.0356677559566037]"
"[1.2199022397435755, 3.0525257741331915]"
"[1.219628163703344, 3.072317758064209]"
"[1.2193168115787716, 3.0937310828731706]"
"[1.219104645470964, 3.117191922242503]"
"[1.2188575765137584, 3.1387981807821492]"
"[1.2184841909053448, 3.1551024601242097]"
"[1.2186524457485772, 3.1730867465255383]"
"[1.2182895170596346, 3.1889305261941185]"
"[1.2178285420534325, 3.20573981671987]"
"[1.217727533772802, 3.2231324514570865]"
"[1.2176917432579155, 3.241273947464753]"
"[1.2174526465428959, 3.262232746890457]"
"[1.217283103745455, 3.281854296932275]"
"[1.2172088450936804, 3.2997237489846376]"
"[1.2169388276229967, 3.3171290450594557]"
"[1.2170254966506684, 3.3383062438760382]"
"[1.216864058209772, 3.3608493640908352]"
"[1.216620149133685, 3.3772082061764945]"
"[1.2164409133704523, 3.3952955783469405]"
"[1.2162668540814492, 3.418589251737668]"
"[1.215875217728493, 3.439373325326813]"
"[1.2158865732766864, 3.4616278377274163]"
"[1.2156378531495484, 3.480520774857326]"
"[1.215547046604428, 3.496471909953237]"
"[1.2155087561196998, 3.514676787183048]"
"[1.2154897071580246, 3.5331625293051037]"
"[1.2152490121189263, 3.5485939268521434]"
"[1.2150434302656192, 3.5666443640774617]"
"[1.2148764473571994, 3.5869161719208997]"
"[1.2148068804716654, 3.6089659111757633]"
"[1.214665824430088, 3.628151359857861]"
"[1.214285687773176, 3.646181148861387]"
"[1.2142552784199656, 3.662666902590805]"
"[1.2139020773352243, 3.6854298933462086]"
"[1.2136806983396242, 3.702348101165282]"
"[1.2135138084942356, 3.719214388146659]"
"[1.2134027185982437, 3.737114380619623]"
"[1.2132666117921684, 3.7604046998283884]"
"[1.2129104267604238, 3.7808533020320674]"
"[1.2125227255311444, 3.8029085519683696]"
"[1.2127054802517532, 3.8214752605245796]"
"[1.2121967041690882, 3.8374106912651866]"
"[1.2120356562502947, 3.856041143147034]"
"[1.2118269466340137, 3.8735218791407484]"
